post_id,user_id,content,likes,shares,comments,timestamp,platform_x,category,total_engagement,sentiment_score,influencer_id,name,followers,engagement_rate,platform_y,predicted_engagement
1,2137,Trying out new recipes and loving the results! #food #cooking #AI #innovation,71454,2486,721,2024-02-18 14:50:48,YouTube,technology,74661,0.35378787878787876,2137,Alex Starr,3306514,8.23,Instagram,57178.650953757955
2,4337,Just finished a 5K! Can't wait for the next one! #fitness #health #wellness #food,28692,471,4479,2024-02-03 23:45:41,YouTube,lifestyle,33642,0.11212121212121212,4337,Chris Miller,7528290,4.96,YouTube,57621.89005826663
3,4716,Traveling soon! Any recommendations for amazing places to visit? #travel #wanderlust #sportsnews #basketball,66460,6796,3020,2024-06-01 16:00:08,TikTok,sports,76276,0.0,4716,Mike Davis,6571939,5.82,YouTube,57804.0943896247
4,1294,Just finished a 5K! Can't wait for the next one! #fitness #health #tech #programming,67406,5840,4292,2024-07-31 04:20:35,Twitter,technology,77538,0.2556818181818182,1294,Sophia Davis,650647,8.45,YouTube,57323.454855833166
5,3693,Traveling soon! Any recommendations for amazing places to visit? #travel #wanderlust #future #innovation,42185,6823,997,2024-02-08 14:52:57,YouTube,technology,50005,0.11212121212121212,3693,Anna Taylor,8942393,4.28,Twitter,57633.25917155757
6,3345,Traveling soon! Any recommendations for amazing places to visit? #travel #wanderlust #tech #programming,87866,2745,3407,2024-09-04 09:48:13,Twitter,technology,94018,0.35378787878787876,3345,Oliver Starr,9509628,6.25,Instagram,57228.52278475087
7,1119,Exploring the latest advancements in AI! #tech #future #gossip #movies,46593,7541,3666,2024-10-10 00:03:23,TikTok,entertainment,57800,0.25,1119,Alex Brown,4272716,7.7,YouTube,57362.19855324673
8,43,Trying out new recipes and loving the results! #food #cooking #workout #sportsnews,5846,7806,1429,2024-10-27 00:30:03,Instagram,sports,15081,0.375,43,Alex Starr,1296361,1.59,TikTok,57126.563972342956
9,4287,Traveling soon! Any recommendations for amazing places to visit? #travel #wanderlust #entertainment #movies,20866,7702,3020,2024-10-28 03:03:57,YouTube,entertainment,31588,0.0,4287,John Smith,9005622,4.66,Instagram,57823.66072796159
10,4478,The future of programming is bright! #tech #innovation #gossip #movies,30855,880,3876,2024-09-28 01:06:26,YouTube,entertainment,35611,0.375,4478,Sophia Starr,5391018,4.12,Instagram,57159.48421883173
11,2148,The future of programming is bright! #tech #innovation #food #travel,23057,5288,37,2024-07-31 05:09:11,Instagram,lifestyle,28382,0.0,2148,Chris Taylor,5910832,6.89,Twitter,57798.77921782998
12,2965,The future of programming is bright! #tech #innovation #entertainment #music,67620,6033,459,2024-05-13 12:46:51,Instagram,entertainment,74112,0.2556818181818182,2965,Oliver Johnson,4770908,0.99,YouTube,57356.580953505836
13,797,A well-balanced life is key! Staying healthy and strong. #fitness #wellness #entertainment #music,10885,7909,4958,2024-06-15 08:19:05,Twitter,entertainment,23752,0.375,797,John Taylor,6446811,9.05,TikTok,57167.972589359735
14,1008,Just finished a 5K! Can't wait for the next one! #fitness #health #innovation #programming,47896,3617,3338,2024-03-04 05:16:36,TikTok,technology,54851,0.2556818181818182,1008,Emma Brown,2430648,7.08,Twitter,57337.76571793231
15,2521,Did anyone else catch the new movie release? #movies #entertainment #AI #programming,24284,6946,4923,2024-09-12 01:29:47,TikTok,technology,36153,0.375,2521,Sarah Starr,8692325,5.24,Instagram,57186.02608550703
16,2240,The future of programming is bright! #tech #innovation #travel #food,18864,4147,2316,2024-08-20 04:13:20,Instagram,lifestyle,25327,0.2556818181818182,2240,Oliver Smith,2646307,4.59,Instagram,57339.49957437926
17,3885,Just finished a 5K! Can't wait for the next one! #fitness #health #innovation #tech,3810,4268,2599,2024-02-26 12:10:05,Twitter,technology,10677,0.0,3885,Anna Johnson,8707852,0.77,YouTube,57821.266715032805
18,2544,Just finished a 5K! Can't wait for the next one! #fitness #health #tech #innovation,61254,70,309,2024-11-03 01:37:43,Instagram,technology,61633,0.2556818181818182,2544,Sarah Smith,8233255,5.08,YouTube,57384.41755048323
19,231,Just finished a 5K! Can't wait for the next one! #fitness #health #innovation #tech,69638,2598,4869,2024-01-10 21:48:37,Instagram,technology,77105,0.35378787878787876,231,Anna Doe,2415465,2.24,Instagram,57171.487092972166
20,4554,A well-balanced life is key! Staying healthy and strong. #fitness #wellness #entertainment #music,76277,5789,294,2024-04-15 22:17:09,Twitter,entertainment,82360,0.8,4554,John Taylor,4220845,3.2,Twitter,56430.278353808106
21,3329,The future of programming is bright! #tech #innovation #music #movies,79438,2258,22,2024-04-18 23:46:55,Twitter,entertainment,81718,0.2556818181818182,3329,Jane Miller,8085137,8.08,Twitter,57383.22671054977
22,1410,A well-balanced life is key! Staying healthy and strong. #fitness #wellness #basketball #sportsnews,13094,1680,4667,2024-03-29 22:51:46,Instagram,sports,19441,0.375,1410,John Miller,3992620,3.89,YouTube,57148.24137068855
23,109,The future of programming is bright! #tech #innovation #future #programming,62832,8015,3216,2024-01-27 18:03:28,TikTok,technology,74063,0.0,109,Jane Davis,5412948,5.91,YouTube,57794.776327233085
24,3727,Traveling soon! Any recommendations for amazing places to visit? #travel #wanderlust #entertainment #gossip,26195,3318,1298,2024-05-28 22:48:13,Instagram,entertainment,30811,0.375,3727,Anna Miller,1200030,5.91,Instagram,57125.78948982476
25,1054,Exploring the latest advancements in AI! #tech #future #AI #future,95492,3260,1033,2024-06-05 03:35:46,Twitter,technology,99785,0.35378787878787876,1054,Alex Wilson,1763181,1.65,Instagram,57166.242856382705
26,3763,Traveling soon! Any recommendations for amazing places to visit? #travel #wanderlust #food #travel,82111,5109,1266,2024-01-23 23:00:23,TikTok,lifestyle,88486,0.375,3763,Anna Doe,9226491,2.81,Twitter,57190.320676332565
27,2050,Did anyone else catch the new movie release? #movies #entertainment #innovation #AI,83907,3424,347,2024-09-21 08:26:38,TikTok,technology,87678,0.2556818181818182,2050,Mike Taylor,7673524,2.16,TikTok,57379.917422026214
28,3884,Just finished a 5K! Can't wait for the next one! #fitness #health #fitness #workout,63769,7578,383,2024-02-29 11:00:22,TikTok,sports,71730,0.0,3884,John Miller,4403369,4.98,TikTok,57786.65950828344
29,2291,"Game night with friends, who’s your favorite player? #sports #basketball #food #style",91816,6914,362,2024-02-19 22:26:30,Instagram,lifestyle,99092,0.25,2291,Mike Miller,514688,7.19,Twitter,57331.98473849455
30,1582,A well-balanced life is key! Staying healthy and strong. #fitness #wellness #travel #wellness,86857,904,4621,2024-01-14 17:48:10,TikTok,lifestyle,92382,0.2556818181818182,1582,Sarah Doe,9803776,9.09,Twitter,57397.04423409453
31,2383,Trying out new recipes and loving the results! #food #cooking #music #entertainment,18819,3841,4483,2024-06-21 18:41:02,YouTube,entertainment,27143,0.8,2383,Sarah Brown,7577403,5.33,Instagram,56457.26442778545
32,2443,A well-balanced life is key! Staying healthy and strong. #fitness #wellness #tech #future,29840,9448,3371,2024-01-23 10:58:28,Twitter,technology,42659,0.35378787878787876,2443,Sophia Wilson,3901958,5.33,Instagram,57183.4382077942
33,12,Sustainable living is the future! Let's work towards a greener planet. #lifestyle #sustainability #food #wellness,28633,7617,167,2024-08-15 08:51:37,TikTok,lifestyle,36417,0.25,12,Chris Smith,6536822,3.82,Instagram,57380.40152546069
34,682,A well-balanced life is key! Staying healthy and strong. #fitness #wellness #AI #tech,4256,9212,326,2024-03-08 06:31:31,Instagram,technology,13794,0.0,682,Mike Starr,3962247,6.84,YouTube,57783.11297313492
35,763,Traveling soon! Any recommendations for amazing places to visit? #travel #wanderlust #innovation #future,33918,4542,1634,2024-05-19 18:29:06,YouTube,technology,40094,0.25,763,John Starr,1192038,3.84,Instagram,57337.43050085247
36,752,A well-balanced life is key! Staying healthy and strong. #fitness #wellness #sportsnews #basketball,46004,2629,3315,2024-10-26 19:47:05,Instagram,sports,51948,0.35378787878787876,752,Sarah Starr,4728893,4.46,Twitter,57190.086604480464
37,2478,A well-balanced life is key! Staying healthy and strong. #fitness #wellness #AI #tech,24861,5630,4375,2024-05-22 00:14:37,YouTube,technology,34866,0.25,2478,Mike Smith,7639875,1.28,TikTok,57389.269857203784
38,3472,A well-balanced life is key! Staying healthy and strong. #fitness #wellness #sportsnews #football,33262,1294,890,2024-06-20 10:02:21,TikTok,sports,35446,0.2556818181818182,3472,Sophia Taylor,396843,2.54,Twitter,57321.41432099965
39,2297,Did anyone else catch the new movie release? #movies #entertainment #travel #fitness,88225,3925,3343,2024-08-17 10:51:59,Twitter,lifestyle,95493,0.8,2297,Sarah Johnson,8332235,7.59,Instagram,56463.33313036484
40,85,Sustainable living is the future! Let's work towards a greener planet. #lifestyle #sustainability #food #fitness,57644,9414,2195,2024-07-11 08:22:08,Twitter,lifestyle,69253,0.11212121212121212,85,Jane Miller,5213893,7.59,Twitter,57603.282756186665
41,4866,Exploring the latest advancements in AI! #tech #future #programming #future,64418,7025,108,2024-08-25 16:32:59,TikTok,technology,71551,0.35378787878787876,4866,Sarah Miller,1161491,5.44,Instagram,57161.40538572037
42,4550,A well-balanced life is key! Staying healthy and strong. #fitness #wellness #tech #AI,97040,7284,764,2024-03-08 09:28:31,Twitter,technology,105088,0.0,4550,Jane Brown,633119,7.53,Twitter,57756.347431026596
43,4166,Trying out new recipes and loving the results! #food #cooking #fitness #style,68666,4063,410,2024-09-07 14:49:31,Instagram,lifestyle,73139,0.375,4166,Jane Smith,2279918,8.17,YouTube,57134.47157946994
44,4788,Trying out new recipes and loving the results! #food #cooking #gossip #entertainment,97002,6734,3178,2024-02-15 16:08:49,Twitter,entertainment,106914,0.0,4788,Jane Brown,417736,5.18,YouTube,57754.615793565994
45,2332,"Game night with friends, who’s your favorite player? #sports #basketball #basketball #football",30835,3493,2362,2024-01-14 14:34:29,YouTube,sports,36690,0.0,2332,Sophia Taylor,3789066,5.73,YouTube,57781.72063155242
46,2510,Exploring the latest advancements in AI! #tech #future #music #gossip,37818,2136,3979,2024-09-30 21:08:45,Twitter,entertainment,43933,0.11212121212121212,2510,Mike Wilson,2627054,9.26,YouTube,57582.485073375436
47,2279,Exploring the latest advancements in AI! #tech #future #basketball #fitness,46596,4686,1441,2024-02-06 02:31:14,Twitter,sports,52723,0.0,2279,Mike Davis,7697813,9.51,TikTok,57813.14619777256
48,3000,Traveling soon! Any recommendations for amazing places to visit? #travel #wanderlust #food #fitness,53616,5660,515,2024-05-02 20:06:27,Twitter,lifestyle,59791,0.11212121212121212,3000,Oliver Smith,5559810,1.79,Twitter,57606.06386163815
49,790,A well-balanced life is key! Staying healthy and strong. #fitness #wellness #gossip #entertainment,8586,7548,391,2024-09-26 23:01:03,Instagram,entertainment,16525,0.2556818181818182,790,Mike Wilson,3747347,8.2,Twitter,57348.351721993575
50,4094,"Game night with friends, who’s your favorite player? #sports #basketball #music #entertainment",75638,2028,498,2024-10-29 06:25:19,Twitter,entertainment,78164,0.2556818181818182,4094,Sophia Davis,9688451,6.9,TikTok,57396.11704350779
51,2669,Catching up with my favorite show tonight! #tv #entertainment #sportsnews #basketball,63953,895,4746,2024-10-03 17:33:42,Twitter,sports,69594,0.375,2669,John Miller,6424046,2.24,YouTube,57167.78956318409
52,707,Catching up with my favorite show tonight! #tv #entertainment #programming #AI,45422,6791,819,2024-04-23 18:49:50,TikTok,technology,53032,0.2556818181818182,707,Alex Miller,2128896,5.31,Twitter,57335.339690497414
53,3875,Catching up with my favorite show tonight! #tv #entertainment #future #tech,99286,6398,2812,2024-03-03 09:31:42,Instagram,technology,108496,0.11212121212121212,3875,Sophia Smith,2156481,7.58,Twitter,57578.70175791068
